"VG","PLAYER","POS","INFO","ETA","ALTEZZA","PIEDE","ING","CART.","CRT.","ST"
"75","Cabal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Sviluppo","23","185 cm","SX","1.795.500","17.955.000","5","0"
"78","Seidu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Sviluppo","24","173 cm","DX","2.160.000","21.600.000","5","0"
"78","Morlanes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Tra le linee","25","178 cm","DX","2.160.000","21.600.000","5","0"
"78","Boyomo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Sviluppo","23","181 cm","DX","2.052.000","20.520.000","5","0"
"79","Král                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","MED","Stile / Pr. Piede debole                                                                                                                                    Collante","26","186 cm","DX","2.376.000","23.760.000","5","0"
"79","Christensen                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","PT","Stile / Pr. Piede debole                                                                                                                                    Portiere offensivo","25","191 cm","DX","2.200.000","22.000.000","5","0"
"79","Elia                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","SP","Stile / Pr. Piede debole                                                                                                                                    Giocatore chiave","28","173 cm","DX","2.760.000","27.600.000","5","0"
"81","Henry                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TS","Stile / Pr. Piede debole                                                                                                                                    Terzino offensivo","27","170 cm","SX","3.327.500","33.275.000","5","0"
"82","Veiga                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TRQ","Stile / Pr. Piede debole                                                                                                                                    Giocatore chiave","29","176 cm","SX","4.830.000","48.300.000","5","0"
"82","De Ketelaere                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","SP","Stile / Pr. Piede debole                                                                                                                                    Giocatore chiave","23","192 cm","SX","3.823.750","38.237.500","5","0"
"82","Kiwior                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Sviluppo","24","189 cm","SX","3.780.000","37.800.000","5","0"
"82","Zubeldia                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Sviluppo","27","181 cm","DX","4.158.000","41.580.000","5","0"
"82","Milinkovic-Savic                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","PT","Stile / Pr. Piede debole                                                                                                                                    Portiere difensivo","27","202 cm","DX","4.235.000","42.350.000","5","0"
"82","Kamara                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","MED","Stile / Pr. Piede debole                                                                                                                                    Collante","25","184 cm","DX","3.780.000","37.800.000","5","0"
"83","Danilo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","TD","Stile / Pr. Piede debole                                                                                                                                    Terzino offensivo","33","184 cm","DX","3.850.000","38.500.000","3","0"
"83","Dovbyk                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","P","Stile / Pr. Piede debole                                                                                                                                    Opportunista","27","189 cm","SX","4.620.000","44.275.000","5","0"
"84","María Giménez                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","DC","Stile / Pr. Piede debole                                                                                                                                    Incontrista","29","185 cm","DX","5.184.000","51.840.000","5","0"
"84","Berardi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","EDA","Stile / Pr. Piede debole                                                                                                                                    Ala prolifica","30","183 cm","SX","5.520.000","55.200.000","5","0"
"84","Kovacic                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","CC","Stile / Pr. Piede debole                                                                                                                                    Onnipresente","30","177 cm","DX","5.184.000","51.840.000","5","0"
"85","Morata                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                TM","P","Stile / Pr. Piede debole                                                                                                                                    Opportunista","32","189 cm","DX","4.800.000","46.000.000","5","0"
